bracket,round_index,round,home_team,away_team,home_score,away_score,date_time,bye
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,0,Round 1 - 14 August 2023,Kenergy,Michael's Basketball Team,11,24,2023-08-14 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,0,Round 1 - 14 August 2023,Bandaids & Stuff,Big Balls,7,27,2023-08-14 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,0,Round 1 - 14 August 2023,Net Naitanui,One shot wonders,19,17,2023-08-14 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,1,Round 2 - 21 August 2023,Kenergy,Big Balls,16,27,2023-08-21 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,1,Round 2 - 21 August 2023,Bandaids & Stuff,One shot wonders,7,14,2023-08-21 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,1,Round 2 - 21 August 2023,Michael's Basketball Team,Net Naitanui,12,14,2023-08-21 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,2,Round 3 - 28 August 2023,One shot wonders,Michael's Basketball Team,19,22,2023-08-28 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,2,Round 3 - 28 August 2023,Big Balls,Net Naitanui,17,23,2023-08-28 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,2,Round 3 - 28 August 2023,Bandaids & Stuff,Kenergy,10,12,2023-08-28 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,3,Round 4 - 11 September 2023,Net Naitanui,Bandaids & Stuff,17,14,2023-09-11 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,3,Round 4 - 11 September 2023,Michael's Basketball Team,Big Balls,12,21,2023-09-11 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,3,Round 4 - 11 September 2023,Kenergy,One shot wonders,11,16,2023-09-11 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,4,Round 5 - 18 September 2023,Kenergy,Net Naitanui,11,17,2023-09-18 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,4,Round 5 - 18 September 2023,Michael's Basketball Team,Bandaids & Stuff,11,17,2023-09-18 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,4,Round 5 - 18 September 2023,One shot wonders,Big Balls,21,19,2023-09-18 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,5,Round 6 - 25 September 2023,Kenergy,Michael's Basketball Team,17,8,2023-09-25 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,5,Round 6 - 25 September 2023,Bandaids & Stuff,Big Balls,12,14,2023-09-25 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,5,Round 6 - 25 September 2023,Net Naitanui,One shot wonders,30,12,2023-09-25 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,6,Round 7 - 2 October 2023,Kenergy,Big Balls,17,22,2023-10-02 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,6,Round 7 - 2 October 2023,Bandaids & Stuff,One shot wonders,8,17,2023-10-02 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,6,Round 7 - 2 October 2023,Michael's Basketball Team,Net Naitanui,18,21,2023-10-02 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,7,Round 8 - 9 October 2023,Big Balls,Net Naitanui,15,31,2023-10-09 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,7,Round 8 - 9 October 2023,Bandaids & Stuff,Kenergy,17,14,2023-10-09 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,7,Round 8 - 9 October 2023,One shot wonders,Michael's Basketball Team,10,13,2023-10-09 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,8,Semi Final Round - 16 October 2023,Net Naitanui,Michael's Basketball Team,22,8,2023-10-16 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,8,Semi Final Round - 16 October 2023,Big Balls,One shot wonders,16,23,2023-10-16 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,8,Semi Final Round - 16 October 2023,Kenergy,Bandaids & Stuff,8,12,2023-10-16 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,9,Grand Final Round - 23 October 2023,Net Naitanui,One shot wonders,26,12,2023-10-23 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,9,Grand Final Round - 23 October 2023,Big Balls,Bandaids & Stuff,9,17,2023-10-23 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 2,9,Grand Final Round - 23 October 2023,Michael's Basketball Team,Kenergy,19,18,2023-10-23 21:15:00+08:00,False
