bracket,round,home_team,away_team,home_score,away_score,date_time,bye
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 1 - 14 August 2023,Who Net The Dogs Out,Hot Bibbies,14,5,2023-08-14 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 1 - 14 August 2023,Sexy Swim Teachers,No Fox Given,11,13,2023-08-14 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 1 - 14 August 2023,The Goal Diggers,Smooth Obturator,14,13,2023-08-14 21:15:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 2 - 21 August 2023,No Fox Given,The Goal Diggers,23,10,2023-08-21 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 2 - 21 August 2023,Who Net The Dogs Out,Smooth Obturator,18,10,2023-08-21 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 2 - 21 August 2023,Hot Bibbies,Sexy Swim Teachers,9,15,2023-08-21 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 3 - 28 August 2023,Sexy Swim Teachers,The Goal Diggers,23,10,2023-08-28 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 3 - 28 August 2023,Hot Bibbies,Smooth Obturator,14,9,2023-08-28 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 3 - 28 August 2023,Who Net The Dogs Out,No Fox Given,12,14,2023-08-28 21:15:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 4 - 11 September 2023,No Fox Given,Hot Bibbies,15,10,2023-09-11 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 4 - 11 September 2023,Who Net The Dogs Out,The Goal Diggers,17,11,2023-09-11 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 4 - 11 September 2023,Smooth Obturator,Sexy Swim Teachers,13,18,2023-09-11 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 5 - 18 September 2023,Sexy Swim Teachers,Who Net The Dogs Out,9,14,2023-09-18 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 5 - 18 September 2023,Smooth Obturator,No Fox Given,16,19,2023-09-18 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 5 - 18 September 2023,The Goal Diggers,Hot Bibbies,8,19,2023-09-18 21:15:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 6 - 25 September 2023,The Goal Diggers,Smooth Obturator,12,22,2023-09-25 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 6 - 25 September 2023,Who Net The Dogs Out,Hot Bibbies,14,8,2023-09-25 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 6 - 25 September 2023,Sexy Swim Teachers,No Fox Given,10,22,2023-09-25 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 7 - 2 October 2023,Who Net The Dogs Out,Smooth Obturator,15,5,2023-10-02 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 7 - 2 October 2023,No Fox Given,The Goal Diggers,25,18,2023-10-02 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 7 - 2 October 2023,Hot Bibbies,Sexy Swim Teachers,13,10,2023-10-02 21:15:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 8 - 9 October 2023,Sexy Swim Teachers,The Goal Diggers,0,0,2023-10-09 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 8 - 9 October 2023,Hot Bibbies,Smooth Obturator,13,17,2023-10-09 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Round 8 - 9 October 2023,Who Net The Dogs Out,No Fox Given,11,12,2023-10-09 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Semi Final Round - 16 October 2023,No Fox Given,Hot Bibbies,18,12,2023-10-16 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Semi Final Round - 16 October 2023,Who Net The Dogs Out,Sexy Swim Teachers,6,14,2023-10-16 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Semi Final Round - 16 October 2023,Smooth Obturator,The Goal Diggers,26,13,2023-10-16 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Grand Final Round - 23 October 2023,No Fox Given,Sexy Swim Teachers,15,8,2023-10-23 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Grand Final Round - 23 October 2023,Who Net The Dogs Out,Smooth Obturator,12,16,2023-10-23 21:15:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 4,Grand Final Round - 23 October 2023,Hot Bibbies,The Goal Diggers,13,17,2023-10-23 18:45:00+08:00,False
