bracket,round_index,round,home_team,away_team,home_score,away_score,date_time,bye,Team_Name_x,Team_1_ID,Team_Name_y,Team_2_ID
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 1,0,Round 1 - 15 August 2023,Albanians & Tobey,Judds Spuds,21,9,2023-08-15 18:00:00+08:00,False,Albanians & Tobey,1,Judds Spuds,4
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 1,0,Round 1 - 15 August 2023,nads,Smash or Pass?,8,24,2023-08-15 18:45:00+08:00,False,nads,2,Smash or Pass?,5
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 1,0,Round 1 - 15 August 2023,Rizz it Like Rainsford,Hoops!... I did it again.,11,17,2023-08-15 19:45:00+08:00,False,Rizz it Like Rainsford,3,Hoops!... I did it again.,6
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 1,1,Round 2 - 22 August 2023,Albanians & Tobey,Rizz it Like Rainsford,17,20,2023-08-22 19:45:00+08:00,False,Albanians & Tobey,1,Rizz it Like Rainsford,3
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 1,1,Round 2 - 22 August 2023,Judds Spuds,nads,31,8,2023-08-22 20:30:00+08:00,False,Judds Spuds,4,nads,2
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 1,1,Round 2 - 22 August 2023,Smash or Pass?,Hoops!... I did it again.,22,18,2023-08-22 21:15:00+08:00,False,Smash or Pass?,5,Hoops!... I did it again.,6
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 1,2,Round 3 - 29 August 2023,Judds Spuds,Hoops!... I did it again.,13,19,2023-08-29 18:00:00+08:00,False,Judds Spuds,4,Hoops!... I did it again.,6
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 1,2,Round 3 - 29 August 2023,Rizz it Like Rainsford,Smash or Pass?,23,18,2023-08-29 18:45:00+08:00,False,Rizz it Like Rainsford,3,Smash or Pass?,5
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 1,2,Round 3 - 29 August 2023,nads,Albanians & Tobey,10,16,2023-08-29 19:45:00+08:00,False,nads,2,Albanians & Tobey,1
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 1,3,Round 4 - 12 September 2023,Smash or Pass?,Judds Spuds,22,22,2023-09-12 19:45:00+08:00,False,Smash or Pass?,5,Judds Spuds,4
