bracket,round,home_team,away_team,home_score,away_score,date_time,bye
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 1 - 15 August 2023,oh god dont shoot,Bye,-1,-1,2023-08-15 00:00:00+08:00,True
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 1 - 15 August 2023,Yee Haw,Bye,-1,-1,2023-08-15 00:00:00+08:00,True
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 1 - 15 August 2023,Ballin on those throws,Bye,-1,-1,2023-08-15 00:00:00+08:00,True
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 1 - 15 August 2023,nets to nothing,Bye,-1,-1,2023-08-15 00:00:00+08:00,True
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 1 - 15 August 2023,FUJI7,Scots Tots,15,16,2023-08-15 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 1 - 15 August 2023,That Wasn't Stepping,Daddy Chaddy Fan Squad,14,8,2023-08-15 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 2 - 22 August 2023,Yee Haw,Ballin on those throws,14,19,2023-08-22 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 2 - 22 August 2023,nets to nothing,Daddy Chaddy Fan Squad,18,21,2023-08-22 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 2 - 22 August 2023,Scots Tots,oh god dont shoot,11,23,2023-08-22 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 2 - 22 August 2023,FUJI7,That Wasn't Stepping,8,24,2023-08-22 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 3 - 29 August 2023,oh god dont shoot,FUJI7,30,8,2023-08-29 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 3 - 29 August 2023,Ballin on those throws,Daddy Chaddy Fan Squad,10,13,2023-08-29 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 3 - 29 August 2023,Yee Haw,nets to nothing,10,19,2023-08-29 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 3 - 29 August 2023,That Wasn't Stepping,Scots Tots,24,20,2023-08-29 21:15:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 4 - 12 September 2023,Ballin on those throws,That Wasn't Stepping,13,22,2023-09-12 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 4 - 12 September 2023,Scots Tots,Yee Haw,25,13,2023-09-12 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 4 - 12 September 2023,oh god dont shoot,nets to nothing,0,20,2023-09-12 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 4 - 12 September 2023,FUJI7,Daddy Chaddy Fan Squad,18,23,2023-09-12 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 5 - 19 September 2023,FUJI7,nets to nothing,16,31,2023-09-19 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 5 - 19 September 2023,That Wasn't Stepping,oh god dont shoot,35,14,2023-09-19 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 5 - 19 September 2023,Scots Tots,Ballin on those throws,26,20,2023-09-19 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 5 - 19 September 2023,Yee Haw,Daddy Chaddy Fan Squad,17,27,2023-09-19 21:15:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 6 - 26 September 2023,Scots Tots,nets to nothing,7,27,2023-09-26 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 6 - 26 September 2023,oh god dont shoot,Daddy Chaddy Fan Squad,20,0,2023-09-26 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 6 - 26 September 2023,FUJI7,Ballin on those throws,27,29,2023-09-26 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 6 - 26 September 2023,Yee Haw,That Wasn't Stepping,10,26,2023-09-26 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 7 - 3 October 2023,Daddy Chaddy Fan Squad,Scots Tots,26,18,2023-10-03 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 7 - 3 October 2023,nets to nothing,That Wasn't Stepping,21,16,2023-10-03 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 7 - 3 October 2023,FUJI7,Yee Haw,17,10,2023-10-03 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 7 - 3 October 2023,oh god dont shoot,Ballin on those throws,28,6,2023-10-03 21:15:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 8 - 10 October 2023,That Wasn't Stepping,Daddy Chaddy Fan Squad,28,13,2023-10-10 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 8 - 10 October 2023,oh god dont shoot,Yee Haw,38,20,2023-10-10 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 8 - 10 October 2023,nets to nothing,Ballin on those throws,20,15,2023-10-10 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Round 8 - 10 October 2023,FUJI7,Scots Tots,11,25,2023-10-10 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Semi Final Round - 17 October 2023,That Wasn't Stepping,Daddy Chaddy Fan Squad,33,12,2023-10-17 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Semi Final Round - 17 October 2023,nets to nothing,oh god dont shoot,21,31,2023-10-17 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Semi Final Round - 17 October 2023,Scots Tots,Yee Haw,20,0,2023-10-17 21:15:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,Semi Final Round - 17 October 2023,Ballin on those throws,FUJI7,21,13,2023-10-17 19:45:00+08:00,False
