bracket,round_index,round,home_team,away_team,home_score,away_score,date_time,bye
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,0,Round 1 - 15 August 2023,Average Joe’s,Bye,-1,-1,2023-08-15 00:00:00+08:00,True
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,0,Round 1 - 15 August 2023,Untouch-A-Balls,Bye,-1,-1,2023-08-15 00:00:00+08:00,True
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,0,Round 1 - 15 August 2023,Uni Hall Ballers,5/12 Jocks,8,11,2023-08-15 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,0,Round 1 - 15 August 2023,Pivoting Primates,Ignite Llamas,12,9,2023-08-15 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,1,Round 2 - 22 August 2023,5/12 Jocks,Ignite Llamas,20,7,2023-08-22 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,1,Round 2 - 22 August 2023,Uni Hall Ballers,Average Joe’s,21,9,2023-08-22 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,1,Round 2 - 22 August 2023,Untouch-A-Balls,Pivoting Primates,15,11,2023-08-22 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,2,Round 3 - 29 August 2023,Untouch-A-Balls,5/12 Jocks,7,28,2023-08-29 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,2,Round 3 - 29 August 2023,Pivoting Primates,Average Joe’s,9,19,2023-08-29 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,2,Round 3 - 29 August 2023,Uni Hall Ballers,Ignite Llamas,25,11,2023-08-29 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,3,Round 4 - 12 September 2023,Uni Hall Ballers,Untouch-A-Balls,9,8,2023-09-12 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,3,Round 4 - 12 September 2023,Ignite Llamas,Average Joe’s,9,18,2023-09-12 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,3,Round 4 - 12 September 2023,Pivoting Primates,5/12 Jocks,16,11,2023-09-12 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,4,Round 5 - 19 September 2023,Uni Hall Ballers,Pivoting Primates,9,8,2023-09-19 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,4,Round 5 - 19 September 2023,Untouch-A-Balls,Ignite Llamas,31,10,2023-09-19 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,4,Round 5 - 19 September 2023,Average Joe’s,5/12 Jocks,16,8,2023-09-19 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,5,Round 6 - 26 September 2023,Average Joe’s,Untouch-A-Balls,22,14,2023-09-26 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,5,Round 6 - 26 September 2023,Pivoting Primates,Ignite Llamas,26,8,2023-09-26 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,5,Round 6 - 26 September 2023,Uni Hall Ballers,5/12 Jocks,13,15,2023-09-26 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,6,Round 7 - 3 October 2023,Untouch-A-Balls,Pivoting Primates,6,17,2023-10-03 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,6,Round 7 - 3 October 2023,5/12 Jocks,Ignite Llamas,31,7,2023-10-03 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,6,Round 7 - 3 October 2023,Uni Hall Ballers,Average Joe’s,6,13,2023-10-03 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,7,Round 8 - 10 October 2023,Uni Hall Ballers,Ignite Llamas,14,16,2023-10-10 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,7,Round 8 - 10 October 2023,Untouch-A-Balls,5/12 Jocks,13,15,2023-10-10 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,7,Round 8 - 10 October 2023,Pivoting Primates,Average Joe’s,2,16,2023-10-10 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,8,Semi Final Round - 17 October 2023,Average Joe’s,Pivoting Primates,14,3,2023-10-17 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,8,Semi Final Round - 17 October 2023,5/12 Jocks,Uni Hall Ballers,13,12,2023-10-17 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,8,Semi Final Round - 17 October 2023,Untouch-A-Balls,Ignite Llamas,20,15,2023-10-17 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,9,Grand Final Round - 24 October 2023,Average Joe’s,Pivoting Primates,12,5,2023-10-24 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,9,Grand Final Round - 24 October 2023,Uni Hall Ballers,Untouch-A-Balls,10,5,2023-10-24 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 5,9,Grand Final Round - 24 October 2023,Pivoting Primates,Ignite Llamas,15,10,2023-10-24 21:15:00+08:00,False
