bracket,round_index,round,home_team,away_team,home_score,away_score,date_time,bye,Team_Name_x,Team_1_ID,Team_Name_y,Team_2_ID
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,0,Round 1 - 14 August 2023,May It Please the Court,Snags,6,14,2023-08-14 18:45:00+08:00,False,May It Please the Court,1,Snags,6
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,0,Round 1 - 14 August 2023,Just Got Played,What are you doing netbro?,4,13,2023-08-14 19:45:00+08:00,False,Just Got Played,2,What are you doing netbro?,4
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,0,Round 1 - 14 August 2023,Netronidazole,J Team,4,13,2023-08-14 20:30:00+08:00,False,Netronidazole,3,J Team,5
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,1,Round 2 - 21 August 2023,Just Got Played,J Team,19,15,2023-08-21 18:00:00+08:00,False,Just Got Played,2,J Team,5
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,1,Round 2 - 21 August 2023,Netronidazole,May It Please the Court,15,8,2023-08-21 18:45:00+08:00,False,Netronidazole,3,May It Please the Court,1
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,1,Round 2 - 21 August 2023,What are you doing netbro?,Snags,22,14,2023-08-21 19:45:00+08:00,False,What are you doing netbro?,4,Snags,6
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,2,Round 3 - 28 August 2023,J Team,What are you doing netbro?,21,20,2023-08-28 18:45:00+08:00,False,J Team,5,What are you doing netbro?,4
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,2,Round 3 - 28 August 2023,May It Please the Court,Just Got Played,6,18,2023-08-28 19:45:00+08:00,False,May It Please the Court,1,Just Got Played,2
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,2,Round 3 - 28 August 2023,Netronidazole,Snags,10,20,2023-08-28 20:30:00+08:00,False,Netronidazole,3,Snags,6
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,3,Round 4 - 11 September 2023,Netronidazole,What are you doing netbro?,13,21,2023-09-11 18:00:00+08:00,False,Netronidazole,3,What are you doing netbro?,4
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,3,Round 4 - 11 September 2023,May It Please the Court,J Team,8,14,2023-09-11 18:45:00+08:00,False,May It Please the Court,1,J Team,5
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,3,Round 4 - 11 September 2023,Just Got Played,Snags,18,17,2023-09-11 19:45:00+08:00,False,Just Got Played,2,Snags,6
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,4,Round 5 - 18 September 2023,Netronidazole,Just Got Played,10,16,2023-09-18 18:45:00+08:00,False,Netronidazole,3,Just Got Played,2
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,4,Round 5 - 18 September 2023,J Team,Snags,15,12,2023-09-18 19:45:00+08:00,False,J Team,5,Snags,6
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,4,Round 5 - 18 September 2023,May It Please the Court,What are you doing netbro?,8,22,2023-09-18 20:30:00+08:00,False,May It Please the Court,1,What are you doing netbro?,4
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,5,Round 6 - 25 September 2023,May It Please the Court,Snags,0,20,2023-09-25 18:00:00+08:00,False,May It Please the Court,1,Snags,6
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,5,Round 6 - 25 September 2023,Netronidazole,J Team,14,20,2023-09-25 18:45:00+08:00,False,Netronidazole,3,J Team,5
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,5,Round 6 - 25 September 2023,Just Got Played,What are you doing netbro?,10,20,2023-09-25 19:45:00+08:00,False,Just Got Played,2,What are you doing netbro?,4
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,6,Round 7 - 2 October 2023,What are you doing netbro?,Snags,15,29,2023-10-02 18:45:00+08:00,False,What are you doing netbro?,4,Snags,6
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,6,Round 7 - 2 October 2023,Netronidazole,May It Please the Court,11,14,2023-10-02 19:45:00+08:00,False,Netronidazole,3,May It Please the Court,1
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,6,Round 7 - 2 October 2023,Just Got Played,J Team,16,16,2023-10-02 20:30:00+08:00,False,Just Got Played,2,J Team,5
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,7,Round 8 - 9 October 2023,Netronidazole,Snags,14,23,2023-10-09 18:00:00+08:00,False,Netronidazole,3,Snags,6
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,7,Round 8 - 9 October 2023,J Team,What are you doing netbro?,13,15,2023-10-09 18:45:00+08:00,False,J Team,5,What are you doing netbro?,4
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,7,Round 8 - 9 October 2023,May It Please the Court,Just Got Played,4,23,2023-10-09 19:45:00+08:00,False,May It Please the Court,1,Just Got Played,2
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,8,Semi Final Round - 16 October 2023,What are you doing netbro?,Snags,17,6,2023-10-16 19:45:00+08:00,False,What are you doing netbro?,4,Snags,6
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,8,Semi Final Round - 16 October 2023,Just Got Played,J Team,11,16,2023-10-16 20:30:00+08:00,False,Just Got Played,2,J Team,5
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,8,Semi Final Round - 16 October 2023,Netronidazole,May It Please the Court,11,5,2023-10-16 21:15:00+08:00,False,Netronidazole,3,May It Please the Court,1
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,9,Grand Final Round - 23 October 2023,What are you doing netbro?,J Team,23,10,2023-10-23 19:45:00+08:00,False,What are you doing netbro?,4,J Team,5
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,9,Grand Final Round - 23 October 2023,Just Got Played,Netronidazole,22,15,2023-10-23 20:30:00+08:00,False,Just Got Played,2,Netronidazole,3
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 5,9,Grand Final Round - 23 October 2023,Snags,May It Please the Court,15,6,2023-10-23 18:00:00+08:00,False,Snags,6,May It Please the Court,1
