bracket,round_index,round,home_team,away_team,home_score,away_score,date_time,bye,Team_Name_x,Team_1_ID,Team_Name_y,Team_2_ID
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,0,Round 1 - 15 August 2023,Charlie's angels,Bye,-1,-1,2023-08-15 00:00:00+08:00,True,Charlie's angels,1,,
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,0,Round 1 - 15 August 2023,Dua Lipa Fan Club,Bye,-1,-1,2023-08-15 00:00:00+08:00,True,Dua Lipa Fan Club,2,,
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,0,Round 1 - 15 August 2023,Joint Forces,Barbie Girls,9,2,2023-08-15 18:45:00+08:00,False,Joint Forces,3,Barbie Girls,5.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,0,Round 1 - 15 August 2023,Gunch Goats,Teach Learn Goalz,3,17,2023-08-15 19:45:00+08:00,False,Gunch Goats,4,Teach Learn Goalz,6.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,1,Round 2 - 22 August 2023,Barbie Girls,Dua Lipa Fan Club,5,22,2023-08-22 18:00:00+08:00,False,Barbie Girls,5,Dua Lipa Fan Club,2.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,1,Round 2 - 22 August 2023,Gunch Goats,Charlie's angels,8,12,2023-08-22 20:30:00+08:00,False,Gunch Goats,4,Charlie's angels,1.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,1,Round 2 - 22 August 2023,Joint Forces,Teach Learn Goalz,20,5,2023-08-22 21:15:00+08:00,False,Joint Forces,3,Teach Learn Goalz,6.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,2,Round 3 - 29 August 2023,Charlie's angels,Teach Learn Goalz,15,4,2023-08-29 18:45:00+08:00,False,Charlie's angels,1,Teach Learn Goalz,6.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,2,Round 3 - 29 August 2023,Barbie Girls,Gunch Goats,13,9,2023-08-29 19:45:00+08:00,False,Barbie Girls,5,Gunch Goats,4.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,2,Round 3 - 29 August 2023,Dua Lipa Fan Club,Joint Forces,16,26,2023-08-29 20:30:00+08:00,False,Dua Lipa Fan Club,2,Joint Forces,3.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,3,Round 4 - 12 September 2023,Teach Learn Goalz,Dua Lipa Fan Club,14,8,2023-09-12 18:00:00+08:00,False,Teach Learn Goalz,6,Dua Lipa Fan Club,2.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,3,Round 4 - 12 September 2023,Gunch Goats,Joint Forces,10,29,2023-09-12 20:30:00+08:00,False,Gunch Goats,4,Joint Forces,3.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,3,Round 4 - 12 September 2023,Barbie Girls,Charlie's angels,1,13,2023-09-12 21:15:00+08:00,False,Barbie Girls,5,Charlie's angels,1.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,4,Round 5 - 19 September 2023,Joint Forces,Charlie's angels,17,11,2023-09-19 18:45:00+08:00,False,Joint Forces,3,Charlie's angels,1.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,4,Round 5 - 19 September 2023,Dua Lipa Fan Club,Gunch Goats,19,13,2023-09-19 19:45:00+08:00,False,Dua Lipa Fan Club,2,Gunch Goats,4.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,4,Round 5 - 19 September 2023,Teach Learn Goalz,Barbie Girls,17,4,2023-09-19 20:30:00+08:00,False,Teach Learn Goalz,6,Barbie Girls,5.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,5,Round 6 - 26 September 2023,Charlie's angels,Dua Lipa Fan Club,17,3,2023-09-26 18:00:00+08:00,False,Charlie's angels,1,Dua Lipa Fan Club,2.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,5,Round 6 - 26 September 2023,Joint Forces,Barbie Girls,20,3,2023-09-26 20:30:00+08:00,False,Joint Forces,3,Barbie Girls,5.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,5,Round 6 - 26 September 2023,Gunch Goats,Teach Learn Goalz,3,17,2023-09-26 21:15:00+08:00,False,Gunch Goats,4,Teach Learn Goalz,6.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,6,Round 7 - 3 October 2023,Gunch Goats,Charlie's angels,9,20,2023-10-03 18:45:00+08:00,False,Gunch Goats,4,Charlie's angels,1.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,6,Round 7 - 3 October 2023,Joint Forces,Teach Learn Goalz,15,9,2023-10-03 19:45:00+08:00,False,Joint Forces,3,Teach Learn Goalz,6.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,6,Round 7 - 3 October 2023,Barbie Girls,Dua Lipa Fan Club,4,14,2023-10-03 20:30:00+08:00,False,Barbie Girls,5,Dua Lipa Fan Club,2.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,7,Round 8 - 10 October 2023,Barbie Girls,Gunch Goats,11,10,2023-10-10 18:00:00+08:00,False,Barbie Girls,5,Gunch Goats,4.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,7,Round 8 - 10 October 2023,Charlie's angels,Teach Learn Goalz,17,10,2023-10-10 20:30:00+08:00,False,Charlie's angels,1,Teach Learn Goalz,6.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,7,Round 8 - 10 October 2023,Dua Lipa Fan Club,Joint Forces,11,28,2023-10-10 21:15:00+08:00,False,Dua Lipa Fan Club,2,Joint Forces,3.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,8,Semi Final Round - 17 October 2023,Joint Forces,Dua Lipa Fan Club,22,24,2023-10-17 18:00:00+08:00,False,Joint Forces,3,Dua Lipa Fan Club,2.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,8,Semi Final Round - 17 October 2023,Charlie's angels,Teach Learn Goalz,11,8,2023-10-17 18:45:00+08:00,False,Charlie's angels,1,Teach Learn Goalz,6.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,8,Semi Final Round - 17 October 2023,Barbie Girls,Gunch Goats,15,14,2023-10-17 20:30:00+08:00,False,Barbie Girls,5,Gunch Goats,4.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,9,Grand Final Round - 24 October 2023,Dua Lipa Fan Club,Charlie's angels,5,26,2023-10-24 19:45:00+08:00,False,Dua Lipa Fan Club,2,Charlie's angels,1.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,9,Grand Final Round - 24 October 2023,Teach Learn Goalz,Barbie Girls,8,4,2023-10-24 21:15:00+08:00,False,Teach Learn Goalz,6,Barbie Girls,5.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 4,9,Grand Final Round - 24 October 2023,Joint Forces,Gunch Goats,35,4,2023-10-24 20:30:00+08:00,False,Joint Forces,3,Gunch Goats,4.0
